"Story","Title","Result","Date","Stability","Duration (s)"
"Download as pdf","Should be able to download as PDF from content manager","IGNORED","2017-07-26T03:14:13.981+05:30","0.0","0.0"
"Email template download as html and oft","Should be able to download html and oft file from content manager","SUCCESS","2017-07-26T03:14:14.058+05:30","0.0","34.82"
