"Story","Title","Result","Date","Stability","Duration (s)"
"Download as pdf","Should be able to download as PDF from content manager","IGNORED","2017-07-26T03:14:13.981+05:30","0.0","0.0"
"Email template download as html and oft","Should be able to download html and oft file from content manager","SUCCESS","2017-07-26T03:14:14.058+05:30","0.0","34.82"
"Email download as html and oft","Should be able to download html and oft file from marketing center","IGNORED","2017-07-26T03:14:12.863+05:30","0.0","0.0"
"Nurturing campaign download as html and oft","Should be able to download html and oft file from program manager","PENDING","2017-07-26T03:14:49.533+05:30","0.0","0.0"
